hilera,planta,id_planta,fruto,fecha,muestreo,d1,d2,diam_medio,long,pf_fr,ps_fr,pf_sem,ps_sem,d_sem,l_sem,p_36h_sem,ps_cas
1,1,til_1,1,07-02-23,1,43.6,,,51.1,45.007,,3.036,3.036,,,,
1,1,til_1,2,07-02-23,1,42.8,,,47.9,45.007,,3.036,3.036,,,,
1,1,til_1,3,07-02-23,1,43.08,,,47.38,45.007,,3.036,3.036,,,,
1,1,til_1,4,07-02-23,1,44.6,,,50.47,45.007,,3.036,3.036,,,,
1,1,til_1,5,07-02-23,1,44.52,,,46.85,45.007,,3.036,3.036,,,,
1,1,til_1,6,07-02-23,1,41.9,,,45.14,45.007,,3.036,3.036,,,,
1,1,til_1,7,07-02-23,1,42.34,,,45.09,45.007,,3.036,3.036,,,,
1,1,til_1,8,07-02-23,1,43.45,,,48.58,45.007,,3.036,3.036,,,,
1,1,til_1,9,07-02-23,1,42.57,,,47.97,45.007,,3.036,3.036,,,,
1,1,til_1,10,07-02-23,1,41.55,,,47.93,45.007,,3.036,3.036,,,,
2,2,til_2,1,07-02-23,1,38.8,,,44.74,46.221,,3.165,3.165,,,,
2,2,til_2,2,07-02-23,1,43.92,,,47.01,46.221,,3.165,3.165,,,,
2,2,til_2,3,07-02-23,1,46.52,,,50.78,46.221,,3.165,3.165,,,,
2,2,til_2,4,07-02-23,1,45.21,,,46.87,46.221,,3.165,3.165,,,,
2,2,til_2,5,07-02-23,1,41.05,,,46.7,46.221,,3.165,3.165,,,,
2,2,til_2,6,07-02-23,1,47.57,,,51.87,46.221,,3.165,3.165,,,,
2,2,til_2,7,07-02-23,1,43.51,,,48.05,46.221,,3.165,3.165,,,,
2,2,til_2,8,07-02-23,1,40.54,,,44.81,46.221,,3.165,3.165,,,,
2,2,til_2,9,07-02-23,1,45.35,,,47.72,46.221,,3.165,3.165,,,,
2,2,til_2,10,07-02-23,1,41.05,,,45.65,46.221,,3.165,3.165,,,,
3,3,til_3,1,07-02-23,1,43.78,,,47.54,49.15,,2.979,2.979,,,,
3,3,til_3,2,07-02-23,1,43.8,,,50.44,49.15,,2.979,2.979,,,,
3,3,til_3,3,07-02-23,1,47.92,,,55.45,49.15,,2.979,2.979,,,,
3,3,til_3,4,07-02-23,1,43.3,,,48.09,49.15,,2.979,2.979,,,,
3,3,til_3,5,07-02-23,1,43.79,,,42.64,49.15,,2.979,2.979,,,,
3,3,til_3,6,07-02-23,1,45.67,,,51.13,49.15,,2.979,2.979,,,,
3,3,til_3,7,07-02-23,1,43.92,,,50.84,49.15,,2.979,2.979,,,,
3,3,til_3,8,07-02-23,1,45.93,,,49.87,49.15,,2.979,2.979,,,,
3,3,til_3,9,07-02-23,1,43.67,,,48.25,49.15,,2.979,2.979,,,,
4,4,til_4,10,07-02-23,1,41.3,,,46,49.15,,2.979,2.979,,,,
