hilera,planta,id_planta,fruto,fecha,muestreo,d1,d2,diam_medio,long,pf_fr,ps_fr,pf_sem,ps_sem,d_sem,l_sem,p_36h_sem,ps_cas
4,10,4_10,1,26-12-22,1,30.61,30.46,30.535,40.25,20.88,3.771,,,,,,3.771
4,10,4_10,2,26-12-22,1,35.42,36.71,36.065,42.53,30.931,6.077,,,,,,6.077
4,10,4_10,3,26-12-22,1,32.19,30.88,31.535,36.29,21.379,4.237,,,,,,4.237
4,10,4_10,4,26-12-22,1,36.48,38.81,37.645,43.06,34.267,6.665,,,,,,6.665
4,10,4_10,5,26-12-22,1,36.11,34.66,35.385,41.05,29.476,5.503,,,,,,5.503
4,18,4_18,1,26-12-22,1,34.17,35.12,34.645,40.64,29.827,5.551,,,,,,5.551
4,18,4_18,2,26-12-22,1,37.31,40.9,39.105,48.39,40.022,7.664,,,,,,7.664
4,18,4_18,3,26-12-22,1,36,34.9,35.45,42.02,31.99,6.29,,,,,,6.29
4,18,4_18,4,26-12-22,1,32.49,36.04,34.265,42.92,26.309,4.491,,,,,,4.491
4,18,4_18,5,26-12-22,1,33.34,35.53,34.435,42.92,28.767,5.007,,,,,,5.007
5,6,5_6,1,26-12-22,1,36.66,36.57,36.615,43.02,33.742,6.487,,,,,,6.487
5,6,5_6,2,26-12-22,1,35.7,36.5,36.1,45.47,34.079,6.263,,,,,,6.263
5,6,5_6,3,26-12-22,1,32.47,34.99,33.73,38.54,25.117,4.36,,,,,,4.36
5,6,5_6,4,26-12-22,1,32.98,33.2,33.09,42.59,26.57,4.864,,,,,,4.864
5,6,5_6,5,26-12-22,1,34.91,36.67,35.79,39.15,27.734,4.771,,,,,,4.771
5,18,5_18,1,26-12-22,1,35.11,37.96,36.535,40.41,30.549,6.177,,,,,,6.177
5,18,5_18,2,26-12-22,1,34.95,32.32,33.635,40.31,25.749,4.264,,,,,,4.264
5,18,5_18,3,26-12-22,1,36.74,34.95,35.845,41.06,29.722,5.389,,,,,,5.389
5,18,5_18,4,26-12-22,1,34.8,36.37,35.585,40.39,28.981,5.129,,,,,,5.129
5,18,5_18,5,26-12-22,1,37.12,39.16,38.14,41.96,34.014,6.521,,,,,,6.521
6,16,6_16,1,26-12-22,1,37.53,36.2,36.865,41.51,30.545,5.989,,,,,,5.989
6,16,6_16,2,26-12-22,1,32.45,35.1,33.775,40.71,26.075,4.589,,,,,,4.589
6,16,6_16,3,26-12-22,1,34.19,35.11,34.65,44.61,28.808,5.257,,,,,,5.257
6,16,6_16,4,26-12-22,1,38.03,36.04,37.035,41.49,33.603,6.981,,,,,,6.981
6,16,6_16,5,26-12-22,1,36.93,34.29,35.61,41.19,29.415,5.479,,,,,,5.479
6,19,6_19,1,26-12-22,1,36.03,35.8,35.915,42.6,32.187,6.356,,,,,,6.356
6,19,6_19,2,26-12-22,1,31.73,32.4,32.065,43.19,24.985,4.634,,,,,,4.634
