Temporada;Provincia;Departamento;c16;c18;c18.1.c;c18.1.t;c18.2;c18.3;mg
2023-2024;La Rioja;Chilecito;6,06;2,57;12,75;0,51;64,32;13,76;65,45
2023-2024;La Rioja;Chilecito;6,05;2,56;12,71;0,51;64,29;13,86;64,58
2023-2024;La Rioja;Chilecito;6,06;2,57;12,73;0,51;64,31;13,81;70,52
2023-2024;La Rioja;Famatina;5,7;2,14;15,93;0,52;60,12;15,59;65,23
2023-2024;La Rioja;Famatina;5,71;2,15;15,95;0,53;60,23;15,43;62,79
2023-2024;La Rioja;Famatina;5,71;2,15;15,94;0,53;60,18;15,51;67,88
2023-2024;Mendoza;Tupungato;5,63;1,85;9,51;0,48;65,35;17,17;62,48
2023-2024;Mendoza;Tupungato;5,49;1,9;10,62;0,5;63,53;17,95;68,07
2023-2024;Mendoza;Tupungato;6,06;2,07;11,6;0,52;62,56;17,18;66,49
2023-2024;Mendoza;Tunuyan;5,77;2,08;11,11;0,52;63,37;17,14;63,94
2023-2024;Mendoza;Tunuyan;6,14;2,13;12,08;0,54;61,71;17,39;66,81
2023-2024;Mendoza;Tunuyan;6,09;2,16;11,33;0,49;63,67;16,25;65,6
2024-2025;La Rioja;Chilecito;5,92;2,57;13,81;0,49;62,33;14,85;65,16
2024-2025;La Rioja;Chilecito;5,86;2,61;12,65;0,48;63,69;14,69;65,88
2024-2025;La Rioja;Chilecito;6,09;2,65;12,64;0,48;63,56;14,55;67,03
2024-2025;La Rioja;Famatina;6;2,05;14,41;0,51;61,56;15,44;64,43
2024-2025;La Rioja;Famatina;5,84;2,17;13,58;0,53;59,29;18,57;69,18
2024-2025;La Rioja;Famatina;5,55;2,61;14,97;0,48;60,6;15,77;63,62
2024-2025;Mendoza;Tupungato;5,62;1,88;11,02;0,45;61,67;19,34;64,88
2024-2025;Mendoza;Tupungato;5,53;1,92;10,74;0,47;63,76;17,55;63,69
2024-2025;Mendoza;Tupungato;5,72;2,14;10,78;0,45;64,55;16,32;67,47
2024-2025;Mendoza;Tunuyan;5,66;2,5;13,95;0,45;59;18,41;70,09
2024-2025;Mendoza;Tunuyan;5,71;2,36;12,91;0,48;61,34;17,17;71,28
2024-2025;Mendoza;Tunuyan;5,57;2,47;13,46;0,46;61,17;16,84;69,43
