hilera,planta,id_planta,fruto,fecha,muestreo,d1,d2,diam_medio,long,pf_fr,ps_fr,pf_sem,ps_sem,d_sem,l_sem,p_36h_sem,ps_cas
1,1,sf_1,1,07-02-23,1,47.87,,,51.13,62.343,,3.032,3.032,,,,
1,1,sf_1,2,07-02-23,1,49.79,,,51.97,62.343,,3.032,3.032,,,,
1,1,sf_1,3,07-02-23,1,46.31,,,49.35,62.343,,3.032,3.032,,,,
1,1,sf_1,4,07-02-23,1,46.76,,,56.93,62.343,,3.032,3.032,,,,
1,1,sf_1,5,07-02-23,1,50.15,,,54.61,62.343,,3.032,3.032,,,,
1,1,sf_1,6,07-02-23,1,48.63,,,55.53,62.343,,3.032,3.032,,,,
1,1,sf_1,7,07-02-23,1,44.35,,,48.87,62.343,,3.032,3.032,,,,
1,1,sf_1,8,07-02-23,1,47.7,,,52.81,62.343,,3.032,3.032,,,,
1,1,sf_1,9,07-02-23,1,48.1,,,50.97,62.343,,3.032,3.032,,,,
1,1,sf_1,10,07-02-23,1,47.4,,,52.79,62.343,,3.032,3.032,,,,
2,2,sf_2,1,07-02-23,1,45.39,,,52.25,54.381,,1.925,1.925,,,,
2,2,sf_2,2,07-02-23,1,45.65,,,50.38,54.381,,1.925,1.925,,,,
2,2,sf_2,3,07-02-23,1,44.4,,,48.05,54.381,,1.925,1.925,,,,
2,2,sf_2,4,07-02-23,1,47.32,,,51.97,54.381,,1.925,1.925,,,,
2,2,sf_2,5,07-02-23,1,41.87,,,48.97,54.381,,1.925,1.925,,,,
2,2,sf_2,6,07-02-23,1,44.66,,,50.86,54.381,,1.925,1.925,,,,
2,2,sf_2,7,07-02-23,1,40.97,,,53,54.381,,1.925,1.925,,,,
2,2,sf_2,8,07-02-23,1,43.14,,,50.06,54.381,,1.925,1.925,,,,
2,2,sf_2,9,07-02-23,1,46.48,,,51.74,54.381,,1.925,1.925,,,,
2,2,sf_2,10,07-02-23,1,44.97,,,49.58,54.381,,1.925,1.925,,,,
3,3,sf_3,1,07-02-23,1,47.76,,,54.71,69.339,,3.21,3.21,,,,
3,3,sf_3,2,07-02-23,1,46.84,,,56.79,69.339,,3.21,3.21,,,,
3,3,sf_3,3,07-02-23,1,48.74,,,51.76,69.339,,3.21,3.21,,,,
3,3,sf_3,4,07-02-23,1,51.64,,,57.75,69.339,,3.21,3.21,,,,
3,3,sf_3,5,07-02-23,1,51.07,,,56.65,69.339,,3.21,3.21,,,,
3,3,sf_3,6,07-02-23,1,51.12,,,55.03,69.339,,3.21,3.21,,,,
3,3,sf_3,7,07-02-23,1,49.31,,,60.14,69.339,,3.21,3.21,,,,
3,3,sf_3,8,07-02-23,1,50.24,,,58.49,69.339,,3.21,3.21,,,,
3,3,sf_3,9,07-02-23,1,52.91,,,59.21,69.339,,3.21,3.21,,,,
4,4,sf_4,10,07-02-23,1,43.22,,,53.07,69.339,,3.21,3.21,,,,
4,4,sf_4,1,07-02-23,1,44.03,,,51.29,49.053,,2.095,2.095,,,,
4,4,sf_4,2,07-02-23,1,41.76,,,51.83,49.053,,2.095,2.095,,,,
4,4,sf_4,3,07-02-23,1,43.73,,,51.97,49.053,,2.095,2.095,,,,
4,4,sf_4,4,07-02-23,1,44.04,,,51.5,49.053,,2.095,2.095,,,,
4,4,sf_4,5,07-02-23,1,41.09,,,47.13,49.053,,2.095,2.095,,,,
4,4,sf_4,6,07-02-23,1,43.1,,,49.14,49.053,,2.095,2.095,,,,
4,4,sf_4,7,07-02-23,1,43.27,,,47.87,49.053,,2.095,2.095,,,,
4,4,sf_4,8,07-02-23,1,42.89,,,59.67,49.053,,2.095,2.095,,,,
4,4,sf_4,9,07-02-23,1,43.98,,,50.21,49.053,,2.095,2.095,,,,
4,4,sf_4,10,07-02-23,1,40.9,,,50.48,49.053,,2.095,2.095,,,,
5,5,sf_5,1,07-02-23,1,41.43,,,47.2,50.594,,2.172,2.172,,,,
5,5,sf_5,2,07-02-23,1,42.17,,,48.27,50.594,,2.172,2.172,,,,
5,5,sf_5,3,07-02-23,1,44.35,,,49.86,50.594,,2.172,2.172,,,,
5,5,sf_5,4,07-02-23,1,44.66,,,48.33,50.594,,2.172,2.172,,,,
5,5,sf_5,5,07-02-23,1,45.78,,,50.66,50.594,,2.172,2.172,,,,
5,5,sf_5,6,07-02-23,1,41.39,,,49.32,50.594,,2.172,2.172,,,,
5,5,sf_5,7,07-02-23,1,43.35,,,49.4,50.594,,2.172,2.172,,,,
5,5,sf_5,8,07-02-23,1,44.25,,,50.41,50.594,,2.172,2.172,,,,
5,5,sf_5,9,07-02-23,1,43.05,,,48.53,50.594,,2.172,2.172,,,,
5,5,sf_5,10,07-02-23,1,45.92,,,50.13,50.594,,2.172,2.172,,,,
1,1,sf_1,1,16-03-23,2,49.57,,,56.15,54.266,,6.239,6.239,,,,
1,1,sf_1,2,16-03-23,2,48.18,,,51.54,54.266,,6.239,6.239,,,,
1,1,sf_1,3,16-03-23,2,47.73,,,55.63,54.266,,6.239,6.239,,,,
1,1,sf_1,4,16-03-23,2,43.92,,,48.05,54.266,,6.239,6.239,,,,
1,1,sf_1,5,16-03-23,2,48.27,,,54.74,54.266,,6.239,6.239,,,,
1,1,sf_1,6,16-03-23,2,47.88,,,56.12,54.266,,6.239,6.239,,,,
1,1,sf_1,7,16-03-23,2,49,,,52.86,54.266,,6.239,6.239,,,,
1,1,sf_1,8,16-03-23,2,49.6,,,56.57,54.266,,6.239,6.239,,,,
1,1,sf_1,9,16-03-23,2,,,,,54.266,,6.239,6.239,,,,
1,1,sf_1,10,16-03-23,2,,,,,54.266,,6.239,6.239,,,,
2,2,sf_2,1,16-03-23,2,44.87,,,49.57,50.492,,4.971,4.971,,,,
2,2,sf_2,2,16-03-23,2,46.98,,,51.14,50.492,,4.971,4.971,,,,
2,2,sf_2,3,16-03-23,2,45.2,,,51.28,50.492,,4.971,4.971,,,,
2,2,sf_2,4,16-03-23,2,46.8,,,52.06,50.492,,4.971,4.971,,,,
2,2,sf_2,5,16-03-23,2,46.48,,,52.31,50.492,,4.971,4.971,,,,
2,2,sf_2,6,16-03-23,2,48.7,,,59.71,50.492,,4.971,4.971,,,,
2,2,sf_2,7,16-03-23,2,41.45,,,46.86,50.492,,4.971,4.971,,,,
2,2,sf_2,8,16-03-23,2,48.67,,,52.35,50.492,,4.971,4.971,,,,
2,2,sf_2,9,16-03-23,2,46.77,,,52.77,50.492,,4.971,4.971,,,,
2,2,sf_2,10,16-03-23,2,45.25,,,56.91,50.492,,4.971,4.971,,,,
3,3,sf_3,1,16-03-23,2,51.22,,,59.54,70.757,,6.546,6.546,,,,
3,3,sf_3,2,16-03-23,2,51.42,,,57.95,70.757,,6.546,6.546,,,,
3,3,sf_3,3,16-03-23,2,47.82,,,53,70.757,,6.546,6.546,,,,
3,3,sf_3,4,16-03-23,2,50.94,,,58.43,70.757,,6.546,6.546,,,,
3,3,sf_3,5,16-03-23,2,51.85,,,60.03,70.757,,6.546,6.546,,,,
3,3,sf_3,6,16-03-23,2,50.62,,,60.78,70.757,,6.546,6.546,,,,
3,3,sf_3,7,16-03-23,2,49.52,,,58.97,70.757,,6.546,6.546,,,,
3,3,sf_3,8,16-03-23,2,54.2,,,61.91,70.757,,6.546,6.546,,,,
3,3,sf_3,9,16-03-23,2,44.89,,,52.47,70.757,,6.546,6.546,,,,
4,4,sf_4,10,16-03-23,2,,,,,70.757,,6.546,6.546,,,,
4,4,sf_4,1,16-03-23,2,43.3,,,52.63,51.852,,4.503,4.503,,,,
4,4,sf_4,2,16-03-23,2,43.52,,,53.73,51.852,,4.503,4.503,,,,
4,4,sf_4,3,16-03-23,2,42.27,,,51.29,51.852,,4.503,4.503,,,,
4,4,sf_4,4,16-03-23,2,44.2,,,57.44,51.852,,4.503,4.503,,,,
