sitio,muestreo,fecha,id_variable,media,desvio,conteo
chacon,1,2022-12-26T00:00:00Z,d1,37.265,2.7857870250460386,600
los_sauces,1,2022-12-20T00:00:00Z,d1,40.61,2.086702827622515,360
santa_florentina,1,2023-02-07T00:00:00Z,d1,45.598,3.0880080925951456,300
tilimuqui,1,2023-02-07T00:00:00Z,d1,43.5888,2.0666774653582016,300
trinidad,1,2022-12-26T00:00:00Z,d1,35.342,1.8489443792947784,300
agua_amarga,2,2023-02-13T00:00:00Z,d1,40.5775,2.1492278604759636,960
chacon,2,2023-01-30T00:00:00Z,d1,38.912244897959184,2.4132625589487087,600
la_consulta,2,2023-02-07T00:00:00Z,d1,41.381,2.0094947412700503,600
los_sauces,2,2023-01-25T00:00:00Z,d1,41.914,2.4515752150522387,600
santa_florentina,2,2023-03-16T00:00:00Z,d1,46.212765957446805,3.1690557001161097,300
tilimuqui,2,2023-03-16T00:00:00Z,d1,35.328513513513514,1.3253162822979163,450
trinidad,2,2023-01-25T00:00:00Z,d1,37.5547,2.438738057997594,600
agua_amarga,3,2023-03-13T00:00:00Z,d1,42.18967741935484,2.2903976328822004,960
chacon,3,2023-02-27T00:00:00Z,d1,39.37222222222222,2.0926269121986745,600
la_consulta,3,2023-03-06T00:00:00Z,d1,41.643055555555556,1.5846268172786517,600
los_sauces,3,2023-03-08T00:00:00Z,d1,43.294,3.589768990107473,600
santa_florentina,3,2023-04-01T00:00:00Z,d1,34.925333333333334,2.380844116745264,450
trinidad,3,2023-02-27T00:00:00Z,d1,37.30041666666666,4.167225894065969,600
agua_amarga,4,2023-03-24T00:00:00Z,d1,31.702092050209206,2.5819132732583436,1440
chacon,4,2023-04-10T00:00:00Z,d1,31.073387096774194,1.8960513848501306,900
la_consulta,4,2023-04-13T00:00:00Z,d1,32.39256756756757,1.73139032374336,900
los_sauces,4,2023-03-29T00:00:00Z,d1,33.1688,1.4448148254498865,750
trinidad,4,2023-03-30T00:00:00Z,d1,31.3222,2.030197074309565,600
trinidad,5,2023-04-24T00:00:00Z,d1,30.5842,1.7323325816591622,1200
chacon,1,2022-12-26T00:00:00Z,d_sem,NA,NA,600
los_sauces,1,2022-12-20T00:00:00Z,d_sem,NA,NA,360
santa_florentina,1,2023-02-07T00:00:00Z,d_sem,NA,NA,300
tilimuqui,1,2023-02-07T00:00:00Z,d_sem,NA,NA,300
trinidad,1,2022-12-26T00:00:00Z,d_sem,NA,NA,300
agua_amarga,2,2023-02-13T00:00:00Z,d_sem,NA,NA,960
chacon,2,2023-01-30T00:00:00Z,d_sem,NA,NA,600
la_consulta,2,2023-02-07T00:00:00Z,d_sem,NA,NA,600
los_sauces,2,2023-01-25T00:00:00Z,d_sem,NA,NA,600
santa_florentina,2,2023-03-16T00:00:00Z,d_sem,NA,NA,300
tilimuqui,2,2023-03-16T00:00:00Z,d_sem,28.758783783783784,1.5605424935381436,450
trinidad,2,2023-01-25T00:00:00Z,d_sem,NA,NA,600
agua_amarga,3,2023-03-13T00:00:00Z,d_sem,NA,NA,960
chacon,3,2023-02-27T00:00:00Z,d_sem,NA,NA,600
la_consulta,3,2023-03-06T00:00:00Z,d_sem,NA,NA,600
los_sauces,3,2023-03-08T00:00:00Z,d_sem,NA,NA,600
santa_florentina,3,2023-04-01T00:00:00Z,d_sem,27.387733333333333,2.473355334408097,450
trinidad,3,2023-02-27T00:00:00Z,d_sem,NA,NA,600
agua_amarga,4,2023-03-24T00:00:00Z,d_sem,25.4879,1.8530453504683608,1440
chacon,4,2023-04-10T00:00:00Z,d_sem,NA,NA,900
la_consulta,4,2023-04-13T00:00:00Z,d_sem,27.865248226950353,19.736897782587878,900
los_sauces,4,2023-03-29T00:00:00Z,d_sem,NA,NA,750
trinidad,4,2023-03-30T00:00:00Z,d_sem,NA,NA,600
trinidad,5,2023-04-24T00:00:00Z,d_sem,23.3456,1.9654273650462708,1200
chacon,1,2022-12-26T00:00:00Z,l_sem,NA,NA,600
los_sauces,1,2022-12-20T00:00:00Z,l_sem,NA,NA,360
santa_florentina,1,2023-02-07T00:00:00Z,l_sem,NA,NA,300
tilimuqui,1,2023-02-07T00:00:00Z,l_sem,NA,NA,300
trinidad,1,2022-12-26T00:00:00Z,l_sem,NA,NA,300
agua_amarga,2,2023-02-13T00:00:00Z,l_sem,NA,NA,960
chacon,2,2023-01-30T00:00:00Z,l_sem,NA,NA,600
la_consulta,2,2023-02-07T00:00:00Z,l_sem,NA,NA,600
los_sauces,2,2023-01-25T00:00:00Z,l_sem,NA,NA,600
santa_florentina,2,2023-03-16T00:00:00Z,l_sem,NA,NA,300
tilimuqui,2,2023-03-16T00:00:00Z,l_sem,29.804594594594594,1.7467156067592182,450
trinidad,2,2023-01-25T00:00:00Z,l_sem,NA,NA,600
agua_amarga,3,2023-03-13T00:00:00Z,l_sem,NA,NA,960
chacon,3,2023-02-27T00:00:00Z,l_sem,NA,NA,600
la_consulta,3,2023-03-06T00:00:00Z,l_sem,NA,NA,600
los_sauces,3,2023-03-08T00:00:00Z,l_sem,NA,NA,600
santa_florentina,3,2023-04-01T00:00:00Z,l_sem,30.916666666666668,1.644001311375392,450
trinidad,3,2023-02-27T00:00:00Z,l_sem,NA,NA,600
agua_amarga,4,2023-03-24T00:00:00Z,l_sem,28.6135,1.7439329598564643,1440
chacon,4,2023-04-10T00:00:00Z,l_sem,NA,NA,900
la_consulta,4,2023-04-13T00:00:00Z,l_sem,30.150354609929078,2.046464665119404,900
los_sauces,4,2023-03-29T00:00:00Z,l_sem,NA,NA,750
trinidad,4,2023-03-30T00:00:00Z,l_sem,NA,NA,600
trinidad,5,2023-04-24T00:00:00Z,l_sem,25.90195,1.972135085340004,1200
chacon,1,2022-12-26T00:00:00Z,long,42.374,2.550954647975285,600
los_sauces,1,2022-12-20T00:00:00Z,long,46.805,2.2963280607687775,360
santa_florentina,1,2023-02-07T00:00:00Z,long,51.9724,3.356786901339337,300
tilimuqui,1,2023-02-07T00:00:00Z,long,48.1432,2.4974757343121996,300
trinidad,1,2022-12-26T00:00:00Z,long,42.0518,2.214286863615749,300
agua_amarga,2,2023-02-13T00:00:00Z,long,44.9575,2.2588179658199903,960
chacon,2,2023-01-30T00:00:00Z,long,43.45428571428572,2.4933251950174946,600
la_consulta,2,2023-02-07T00:00:00Z,long,46.268,2.8173045051001195,600
los_sauces,2,2023-01-25T00:00:00Z,long,47.281,2.837314973779622,600
santa_florentina,2,2023-03-16T00:00:00Z,long,53.969787234042556,3.570842473255355,300
tilimuqui,2,2023-03-16T00:00:00Z,long,39.76108108108108,1.7614414635543245,450
trinidad,2,2023-01-25T00:00:00Z,long,42.3416,2.9467945472166606,600
agua_amarga,3,2023-03-13T00:00:00Z,long,45.95324675324675,2.4813716062840436,960
chacon,3,2023-02-27T00:00:00Z,long,44.09027777777778,2.6350216571780525,600
la_consulta,3,2023-03-06T00:00:00Z,long,47.34722222222222,2.0355521473227416,600
los_sauces,3,2023-03-08T00:00:00Z,long,48.357,3.2386312263620383,600
santa_florentina,3,2023-04-01T00:00:00Z,long,40.65533333333333,1.9067725971373108,450
trinidad,3,2023-02-27T00:00:00Z,long,43.42635416666667,2.8657918076480375,600
agua_amarga,4,2023-03-24T00:00:00Z,long,36.964166666666664,1.877875094738332,1440
chacon,4,2023-04-10T00:00:00Z,long,36.924193548387095,2.544517373168046,900
la_consulta,4,2023-04-13T00:00:00Z,long,39.56283783783784,2.1304136951702453,900
los_sauces,4,2023-03-29T00:00:00Z,long,39.896,2.480473274105448,750
trinidad,4,2023-03-30T00:00:00Z,long,36.077,2.039350919756833,600
trinidad,5,2023-04-24T00:00:00Z,long,34.3866,2.2100630659847,1200
chacon,1,2022-12-26T00:00:00Z,p_36h_sem,NA,NA,600
los_sauces,1,2022-12-20T00:00:00Z,p_36h_sem,NA,NA,360
santa_florentina,1,2023-02-07T00:00:00Z,p_36h_sem,NA,NA,300
tilimuqui,1,2023-02-07T00:00:00Z,p_36h_sem,NA,NA,300
trinidad,1,2022-12-26T00:00:00Z,p_36h_sem,NA,NA,300
agua_amarga,2,2023-02-13T00:00:00Z,p_36h_sem,NA,NA,960
chacon,2,2023-01-30T00:00:00Z,p_36h_sem,NA,NA,600
la_consulta,2,2023-02-07T00:00:00Z,p_36h_sem,NA,NA,600
los_sauces,2,2023-01-25T00:00:00Z,p_36h_sem,NA,NA,600
santa_florentina,2,2023-03-16T00:00:00Z,p_36h_sem,NA,NA,300
tilimuqui,2,2023-03-16T00:00:00Z,p_36h_sem,NA,NA,450
trinidad,2,2023-01-25T00:00:00Z,p_36h_sem,NA,NA,600
agua_amarga,3,2023-03-13T00:00:00Z,p_36h_sem,NA,NA,960
chacon,3,2023-02-27T00:00:00Z,p_36h_sem,NA,NA,600
la_consulta,3,2023-03-06T00:00:00Z,p_36h_sem,NA,NA,600
los_sauces,3,2023-03-08T00:00:00Z,p_36h_sem,NA,NA,600
santa_florentina,3,2023-04-01T00:00:00Z,p_36h_sem,NA,NA,450
trinidad,3,2023-02-27T00:00:00Z,p_36h_sem,NA,NA,600
agua_amarga,4,2023-03-24T00:00:00Z,p_36h_sem,5.362633333333333,0.9002168475629984,1440
chacon,4,2023-04-10T00:00:00Z,p_36h_sem,4.6635135135135135,0.8594041178282912,900
la_consulta,4,2023-04-13T00:00:00Z,p_36h_sem,5.519178082191781,0.7645445603038027,900
los_sauces,4,2023-03-29T00:00:00Z,p_36h_sem,7.066666666666666,0.90747943831124,750
trinidad,4,2023-03-30T00:00:00Z,p_36h_sem,NA,NA,600
trinidad,5,2023-04-24T00:00:00Z,p_36h_sem,4.12163,0.750045167560951,1200
chacon,1,2022-12-26T00:00:00Z,pf_fr,31.04701,6.2277434809627845,600
los_sauces,1,2022-12-20T00:00:00Z,pf_fr,41.153333333333336,5.369235692536282,360
santa_florentina,1,2023-02-07T00:00:00Z,pf_fr,57.142,7.651461346421739,300
tilimuqui,1,2023-02-07T00:00:00Z,pf_fr,47.0446,3.3719692806179955,300
trinidad,1,2022-12-26T00:00:00Z,pf_fr,29.91932,3.8546206322189165,300
agua_amarga,2,2023-02-13T00:00:00Z,pf_fr,40.4966875,5.535543664009186,960
chacon,2,2023-01-30T00:00:00Z,pf_fr,35.640051020408166,5.895437289306491,600
la_consulta,2,2023-02-07T00:00:00Z,pf_fr,43.98080808080808,4.508354847042165,600
los_sauces,2,2023-01-25T00:00:00Z,pf_fr,45.30386,7.310812446286297,600
santa_florentina,2,2023-03-16T00:00:00Z,pf_fr,55.769999999999996,7.608196978976232,300
tilimuqui,2,2023-03-16T00:00:00Z,pf_fr,19.668,0.5190517308822391,450
trinidad,2,2023-01-25T00:00:00Z,pf_fr,33.3999,5.878799832373542,600
agua_amarga,3,2023-03-13T00:00:00Z,pf_fr,42.78867924528302,6.186859253677538,960
chacon,3,2023-02-27T00:00:00Z,pf_fr,37.51111111111111,5.853181788192668,600
la_consulta,3,2023-03-06T00:00:00Z,pf_fr,44.826388888888886,4.5627868226067445,600
los_sauces,3,2023-03-08T00:00:00Z,pf_fr,48.152,7.739310318562739,600
santa_florentina,3,2023-04-01T00:00:00Z,pf_fr,21.352,2.414790726729244,450
trinidad,3,2023-02-27T00:00:00Z,pf_fr,35.44651041666667,5.421572596490961,600
agua_amarga,4,2023-03-24T00:00:00Z,pf_fr,17.181200836820082,2.7181926040862665,1440
chacon,4,2023-04-10T00:00:00Z,pf_fr,11.608121212121212,2.8520109873899604,900
la_consulta,4,2023-04-13T00:00:00Z,pf_fr,16.126380952380952,2.293048033964691,900
los_sauces,4,2023-03-29T00:00:00Z,pf_fr,19.419999999999998,2.674939326514537,750
trinidad,4,2023-03-30T00:00:00Z,pf_fr,32.94137,10.017962763772244,600
trinidad,5,2023-04-24T00:00:00Z,pf_fr,9.91839,1.6488316548660773,1200
chacon,1,2022-12-26T00:00:00Z,pf_sem,NA,NA,600
los_sauces,1,2022-12-20T00:00:00Z,pf_sem,NA,NA,360
santa_florentina,1,2023-02-07T00:00:00Z,pf_sem,2.4868,0.5278504652952145,300
tilimuqui,1,2023-02-07T00:00:00Z,pf_sem,3.2618,0.2556513616805062,300
trinidad,1,2022-12-26T00:00:00Z,pf_sem,NA,NA,300
agua_amarga,2,2023-02-13T00:00:00Z,pf_sem,4.924375,0.7949066386245,960
chacon,2,2023-01-30T00:00:00Z,pf_sem,4.0833673469387755,0.7662897987230555,600
la_consulta,2,2023-02-07T00:00:00Z,pf_sem,5.086734693877551,0.6452506751268804,600
los_sauces,2,2023-01-25T00:00:00Z,pf_sem,4.85725,0.9543713584844583,600
santa_florentina,2,2023-03-16T00:00:00Z,pf_sem,5.3176,0.9091485082391353,300
tilimuqui,2,2023-03-16T00:00:00Z,pf_sem,13.93,0.19152418770644788,450
trinidad,2,2023-01-25T00:00:00Z,pf_sem,4.31756,1.1969051422167436,600
